,start_time,end_time,pattern_type,duration_bars,price_change,price_change_pct,price_range,price_range_pct,start_price,end_price,risk_amount,risk_pct,potential_reward,reward_pct,risk_reward_ratio,stop_loss,target_1r,target_2r,stop_hit,target_1r_hit,target_2r_hit,bars_to_target,avg_volume,volume_change_pct,pattern_strength,outcome,recovery_bars,recovery_price
0,2024-12-05 09:38:00-05:00,2024-12-05 09:41:00-05:00,Rally,4,0.15220069885253196,0.5927326462823069,0.39480018615722656,1.5375156675230166,25.67779922485352,25.82999992370605,0.06480026245117543,0.2508720969515124,0.32999992370605113,1.277583912817539,5.092570789426874,25.894800186157227,25.765199661254876,25.7003993988037,True,False,False,1,30047.5,-62.9286406199548,Strong,reversed,,
1,2024-12-05 09:47:00-05:00,2024-12-05 09:48:00-05:00,Pullback,2,-0.16230010986328125,-0.6214228313079325,0.19479942321778054,0.745857838390363,26.11750030517578,25.9552001953125,0.0,0.0,0.19479942321778054,0.7505217519106682,0.0,25.9552001953125,25.9552001953125,25.9552001953125,True,False,False,1,13465.5,-29.074638233054074,Weak,resumed,1.0,26.07999992370605
2,2024-12-05 09:57:00-05:00,2024-12-05 09:59:00-05:00,Pullback,3,-0.1100006103515625,-0.4197695503599361,0.25,0.9540164118597856,26.20499992370605,26.09499931335449,0.03499984741210582,0.13412473015162774,0.21500015258789418,0.8239132333598674,6.142888283379472,26.059999465942383,26.129999160766594,26.1649990081787,True,False,False,1,11530.0,105.10704727921501,Moderate,resumed,1.0,26.190000534057617
3,2024-12-05 10:01:00-05:00,2024-12-05 10:03:00-05:00,Pullback,3,-0.07500076293945312,-0.2825951784183006,0.17029953002929688,0.641671153559239,26.540000915527344,26.46500015258789,0.06999969482421875,0.2644991287384285,0.10029983520507812,0.37899049547245234,1.4328610354223432,26.395000457763672,26.53499984741211,26.604999542236328,False,True,True,1,12840.333333333334,-1.7728758169934689,Weak,resumed,1.0,26.549999237060547
4,2024-12-05 10:29:00-05:00,2024-12-05 10:30:00-05:00,Rally,2,0.07480049133300071,0.2859193001396334,0.18999862670898793,0.7262555821228722,26.1613998413086,26.2362003326416,0.06379890441894531,0.2431712809402904,0.12619972229004262,0.48101371650616664,1.9780860414362722,26.299999237060547,26.172401428222656,26.10860252380371,True,False,False,1,10638.0,-8.772245191443462,Weak,resumed,1.0,26.11000061035156
5,2024-12-05 10:50:00-05:00,2024-12-05 10:52:00-05:00,Rally,3,0.12000083923339844,0.46820461631965643,0.19280052185059304,0.7522455254143142,25.6299991607666,25.75,0.01399993896484375,0.05436869500910194,0.1788005828857493,0.6943711956728128,12.771525885559091,25.763999938964844,25.736000061035156,25.722000122070312,False,True,True,1,12026.666666666666,-45.04403030923613,Weak,resumed,1.0,25.63999938964844
6,2024-12-05 10:59:00-05:00,2024-12-05 11:00:00-05:00,Rally,2,0.09499931335449219,0.3747507373764559,0.20999908447265625,0.8283987428503583,25.350000381469727,25.44499969482422,0.05500030517578125,0.2161536877006483,0.154998779296875,0.6091522151930046,2.818143986683312,25.5,25.389999389648438,25.334999084472656,True,False,False,1,9622.0,10.339927860968402,Weak,resumed,1.0,25.35009956359864
7,2024-12-05 11:04:00-05:00,2024-12-05 11:06:00-05:00,Rally,3,0.06120109558105469,0.24081836364796255,0.20000076293945312,0.7869770304297083,25.413799285888672,25.475000381469727,0.024999618530273438,0.09813392799184381,0.1750011444091797,0.686952470220467,7.000152590218967,25.5,25.450000762939453,25.42500114440918,True,False,False,1,16417.333333333332,656.3559322033898,Moderate,resumed,1.0,25.299999237060547
8,2024-12-05 11:18:00-05:00,2024-12-05 11:20:00-05:00,Rally,3,0.10500144958495738,0.4197539562140004,0.2432994842529368,0.9726143921219425,25.01499938964844,25.1200008392334,0.029998779296882105,0.11942188811565976,0.2133007049560547,0.8491269818069167,7.110312817902692,25.14999961853028,25.090002059936516,25.060003280639634,True,True,True,2,12025.666666666666,120.7572786242269,Moderate,resumed,1.0,25.020000457763672
9,2024-12-05 11:32:00-05:00,2024-12-05 11:35:00-05:00,Pullback,4,-0.11999893188476918,-0.477322731893858,0.2193012237548828,0.8723199247378722,25.13999938964844,25.020000457763672,0.04000091552734375,0.15987575857510236,0.17930030822753906,0.7166279174543437,4.482405111577341,24.979999542236328,25.060001373291016,25.10000228881836,True,True,False,2,13274.5,210.29411764705884,Moderate,resumed,1.0,25.06999969482422
10,2024-12-05 11:59:00-05:00,2024-12-05 12:01:00-05:00,Pullback,3,-0.14879989624023082,-0.5826424906453977,0.17999839782714844,0.7048036824761985,25.538799285888672,25.38999938964844,0.019998550415042615,0.07876546237018055,0.15999984741210582,0.6301687721872814,8.00057224606421,25.3700008392334,25.409997940063484,25.429996490478526,True,False,False,1,6131.333333333333,-59.516588548846606,Moderate,resumed,1.0,25.45800018310547
11,2024-12-05 12:09:00-05:00,2024-12-05 12:10:00-05:00,Pullback,2,-0.13319969177246094,-0.5155984116305594,0.18899917602539062,0.7315908442539146,25.833999633789062,25.7007999420166,0.0007991790771484375,0.0031095494262881307,0.1881999969482422,0.7322729151343107,235.491646778043,25.700000762939453,25.70159912109375,25.7023983001709,True,False,False,1,19536.5,465.18556350017025,Moderate,resumed,1.0,25.850000381469727
12,2024-12-05 12:29:00-05:00,2024-12-05 12:31:00-05:00,Pullback,3,-0.12989997863769176,-0.4998094478773209,0.13999938964844105,0.5386684307201717,25.98990058898925,25.86000061035156,0.0,0.0,0.13999938964844105,0.5413742704723695,0.0,25.86000061035156,25.86000061035156,25.86000061035156,True,False,False,1,1962.6666666666667,-69.53039679650527,Weak,resumed,2.0,25.96999931335449
13,2024-12-05 12:39:00-05:00,2024-12-05 12:40:00-05:00,Pullback,2,-0.06999969482422941,-0.2676852613589584,0.15810012817382457,0.6045894091019124,26.14999961853028,26.07999992370605,0.018100738525387072,0.0694046724629549,0.1399993896484375,0.5368074772162159,7.734457323499937,26.061899185180664,26.098100662231438,26.116201400756825,True,False,False,1,10257.5,-44.665707579313995,Weak,resumed,1.0,26.1200008392334
14,2024-12-05 12:52:00-05:00,2024-12-05 12:53:00-05:00,Pullback,2,-0.08500099182128551,-0.3241219850709562,0.11219978332519531,0.4278352018803948,26.225000381469727,26.13999938964844,0.027198791503909803,0.10405046724936286,0.08500099182128551,0.3251759518209717,3.1251753155674837,26.11280059814453,26.16719818115235,26.19439697265626,True,False,False,1,5303.0,479.87179487179486,Weak,reversed,,
15,2024-12-05 12:55:00-05:00,2024-12-05 12:56:00-05:00,Pullback,2,-0.10999870300293324,-0.4208060656898608,0.14999961853027344,0.5738317598801245,26.13999938964844,26.030000686645508,0.0,0.0,0.14999961853027344,0.5762566829559462,0.0,26.030000686645508,26.030000686645508,26.030000686645508,True,False,False,1,19016.0,469.5774647887324,Weak,resumed,1.0,26.18000030517578
16,2024-12-05 13:18:00-05:00,2024-12-05 13:19:00-05:00,Pullback,2,-0.10999870300292969,-0.4233976325677068,0.1400985717773473,0.5392554820856928,25.979999542236328,25.8700008392334,0.0,0.0,0.1400985717773473,0.5415483851275315,0.0,25.8700008392334,25.8700008392334,25.8700008392334,True,False,False,1,10619.5,-49.571499397974364,Weak,reversed,,
17,2024-12-05 13:32:00-05:00,2024-12-05 13:34:00-05:00,Rally,3,0.10580062866210938,0.41604650960454653,0.19899940490722656,0.7825379572123878,25.43000030517578,25.53580093383789,0.030199050903320312,0.11826161623661106,0.16880035400390625,0.6610341083142853,5.589591359818102,25.56599998474121,25.50560188293457,25.47540283203125,True,False,False,1,7378.0,-78.16555115421392,Moderate,reversed,,
18,2024-12-05 13:54:00-05:00,2024-12-05 13:56:00-05:00,Rally,3,0.09000015258789062,0.3537741772741065,0.10280036926269887,0.4040894933358024,25.440000534057617,25.530000686645508,0.0,0.0,0.10280036926269887,0.40266496865576945,0.0,25.530000686645508,25.530000686645508,25.530000686645508,True,False,False,1,6411.0,-31.17797042325344,Weak,resumed,1.0,25.450000762939453
19,2024-12-05 13:58:00-05:00,2024-12-05 14:00:00-05:00,Rally,3,0.10729980468750355,0.42239526859635684,0.11630058288574574,0.4578276362105872,25.402700424194336,25.51000022888184,0.0,0.0,0.11630058288574574,0.4559019280371188,0.0,25.51000022888184,25.51000022888184,25.51000022888184,True,False,False,1,4456.333333333333,78.33947104117844,Weak,reversed,,
20,2024-12-05 14:04:00-05:00,2024-12-05 14:11:00-05:00,Rally,8,0.18219947814940696,0.7147880729126207,0.2400989532470703,0.9419339168418436,25.489999771118164,25.67219924926757,0.00790023803711648,0.03077351480645693,0.23219871520995383,0.9044753546643592,29.391356832420758,25.680099487304688,25.664299011230455,25.656398773193338,True,False,False,1,4598.125,1674.5989304812833,Strong,resumed,1.0,25.645000457763672
21,2024-12-05 14:19:00-05:00,2024-12-05 14:22:00-05:00,Rally,4,0.0699996948242152,0.2730097367025522,0.09499931335449219,0.37051215138813914,25.63999938964844,25.709999084472656,0.0,0.0,0.09499931335449219,0.3695033712072991,0.0,25.709999084472656,25.709999084472656,25.709999084472656,True,False,False,1,1071.0,237.78801843317973,Moderate,resumed,1.0,25.655000686645508
22,2024-12-05 14:37:00-05:00,2024-12-05 14:40:00-05:00,Rally,4,0.051898956298828125,0.20305947418715575,0.12999916076660156,0.5086337589920609,25.558500289916992,25.61039924621582,0.04960060119628906,0.1936736741955244,0.0803985595703125,0.3139293487671503,1.6209190540280713,25.65999984741211,25.56079864501953,25.511198043823242,False,True,True,3,1314.0,-44.29012345679012,Weak,resumed,1.0,25.61000061035156
23,2024-12-05 14:51:00-05:00,2024-12-05 14:56:00-05:00,Rally,5,0.10009956359863637,0.3930112135615182,0.1941013336181605,0.7620812512735227,25.469900131225582,25.56999969482422,0.014101028442382812,0.05514676812936017,0.1800003051757777,0.7039511432306066,12.765048018395527,25.5841007232666,25.555898666381836,25.541797637939453,True,False,False,1,4695.6,0.9493670886076,Moderate,resumed,1.0,25.549999237060547
24,2024-12-05 15:29:00-05:00,2024-12-05 15:31:00-05:00,Rally,3,0.2339992523193395,0.9365589217652092,0.3190002441406179,1.2767670055947593,24.98500061035156,25.2189998626709,0.0,0.0,0.3190002441406179,1.2649202818419507,0.0,25.2189998626709,25.2189998626709,25.2189998626709,True,False,False,1,11009.666666666666,-27.215713301171608,Moderate,resumed,1.0,25.1299991607666
25,2024-12-05 15:38:00-05:00,2024-12-05 15:42:00-05:00,Rally,5,0.17000007629394887,0.6778312472531622,0.2600002288818395,1.0366835313906153,25.07999992370605,25.25,0.01000022888183949,0.03960486685877026,0.25,0.9900990099009901,24.9994278084977,25.26000022888184,25.23999977111816,25.22999954223632,True,False,False,1,17125.8,71.28205128205127,Strong,reversed,,
26,2024-12-05 15:51:00-05:00,2024-12-05 15:54:00-05:00,Pullback,4,-0.09000015258789062,-0.3558724765906714,0.1766986846923828,0.6986899102241425,25.290000915527344,25.200000762939453,0.010000228881835938,0.03968344674236217,0.16669845581054688,0.6615017887447966,16.66946404730116,25.190000534057617,25.21000099182129,25.220001220703125,True,False,False,1,6319.0,118.5933147632312,Moderate,resumed,1.0,25.229999542236328
